NodeName,OAGName,Name,City,Lon,Lat
AAE,Annaba Rabah Bitat,Les Salines Airport,Annaba,7.81,36.82
AAL,Aalborg Denmark,Aalborg Airport,Aalborg,9.87,57.09
AAN,Al Ain U.A. Emirates,Al Ain Airport,Al Ain,55.62,24.26
AAR,Aarhus Denmark,Tirstrup Airport,Aarhus,10.63,56.31
AAT,Altay China,Altay Airport,Altay,89.5,43.93
ABA,Abakan Russian Fed.,Abakan Airport,Abakan,91.5,53.72
ABC,Albacete Spain,Los Llanos Airport,Albacete,-1.86,38.95
ABD,Abadan Iran,Abadan Airport,Abadan,48.23,30.36
ABE,Allentown PA USA,Lehigh Valley International Airport,Allentown,-75.43,40.65
ABI,Abilene TX USA,Abilene Municipal Airport,Abilene,-99.68,32.41
ABJ,Abidjan Cote d'Ivoire,Felix Houphouet Boigny Airport,Abidjan,-3.93,5.25
ABQ,Albuquerque NM USA,Albuquerque International Airport,Albuquerque,-106.62,35.05
ABV,Abuja Nigeria,Abuja International Airport,Abuja,7.27,9
ABZ,Aberdeen Scotland UK,Dyce Airport,Aberdeen,-2.2,57.2
ACA,Acapulco Mexico,Alvarez International Airport,Acapulco,-99.75,16.76
ACC,Accra Ghana,Kotoka Airport,Accra,-0.17,5.61
ACE,Lanzarote Canary Is.,Lanzarote Airport,Lanzarote,-13.61,28.95
ACT,Waco(Municipal) TX USA,Waco Municipal Airport,Waco,-97.22,31.61
ACX,Xingyi China,Xingyi Airport,Xingyi,104.96,25.09
ACZ,Zabol Iran,Zabol Airport,Zabol,61.54,31.09
ADA,ADANA SAKIRPASA,Adana Airport,Adana,35.3,36.99
ADB,Izmir(Menderes) Turkey,Adnan Menderes Airport,Izmir,27.15,38.29
ADD,Addis Ababa Ethiopia,Bole Airport,Addis Ababa,38.8,8.98
ADE,Aden Yemen,Aden International Airport,Aden,45.04,12.83
ADF,Adiyaman Turkey,Adiyaman Airport,Adiyaman,38.27,37.75
ADJ,Amman Civil-Marka,Civil - Marka Airport,Amman,35.98,31.98
ADL,Adelaide SA Australia,Adelaide Airport,Adelaide,138.54,-34.94
ADU,Ardabil Iran,Ardabil Airport,Ardabil,48.42,38.32
AEB,Baise China,NULL,Baise,106.62,23.9
AEP,Buenos Aires(Newbery) BA Argentina,Jorge Newbery Airport,Buenos Aires,-58.42,-34.56
AFA,San Rafael MD Argentina,San Rafael Airport,San Rafael,-68.4,-34.59
AFZ,Sabzevar Iran,Sabzevar Airport,Sabzevar,57.6,36.17
AGA,Agadir Morocco,Agadir Almassira Airport,Agadir,-9.56,30.38
AGF,Agen France,La Garenne Airport,Agen,0.6,44.17
AGP,Malaga Spain,Malaga Airport,Malaga,-4.49,36.68
AGR,Agra India,Kheria Airport,Agra,77.96,27.16
AGT,Ciudad Del Este Paraguay,Alejo Garcia Airport,Ciudad del Este,-54.83,-25.5
AGU,Aguascalientes Mexico,Aguascalients Airport,Aguascalientes,-102.31,21.7
AHB,Abha Saudi Arabia,Abha Airport,Abha,42.66,18.23
AHN,Athens GA USA,Athens Airport,Athens,-83.32,33.95
AJI,Agri Turkey,Agri Airport,Agri,43.02,39.65
AJL,Aizawl India,Aizawl Airport,Aizawl,92.62,23.84
AJN,Anjouan Comoros,Ouani Airport,Anjouan,44.43,-12.13
AJU,Aracaju SE Brazil,Aracaju Airport,Aracaju,-37.07,-10.99
AKJ,Asahikawa Japan,Asahikawa Airport,Asahikawa,142.45,43.67
AKL,Auckland New Zealand,Auckland International Airport,Auckland,174.78,-37
AKR,Akure Nigeria,Akure Airport,Akure,5.08,7.25
AKU,Aksu China,Aksu Airport,Aksu,80.29,41.26
AKX,Aktyubinsk Kazakhstan,Aktyubinsk Airport,Aktyubinsk,57.21,50.25
AKY,Sittwe Myanmar,Civil Airport,Sittwe,92.88,20.13
ALA,Almaty Kazakhstan,Almaty Airport,Almaty,77.01,43.35
ALC,Alicante Spain,Alicante Airport,Alicante,-0.56,38.29
ALG,Algiers Algeria,Houari Boumediene Airport,Algiers,3.21,36.7
ALP,Aleppo Syria,Aleppo International Airport,Aleppo,37.23,36.19
ALY,ALEXANDRIA(EL NOUZHA) EGYPT,El Nohza Airport,Alexandria,29.95,31.19
AMA,Amarillo TX USA,Amarillo International Airport,Amarillo,-101.71,35.22
AMD,Ahmedabad India,Ahmedabad Airport,Ahmedabad,72.62,23.07
AMI,Mataram Indonesia,Selaparang Airport,Mataram,116.1,-8.56
AMM,Amman(Intl) Jordan,Queen Alia International Airport,Amman,35.99,31.72
AMQ,Ambon Indonesia,Pattimura Airport,Ambon,128.09,-3.7
AMS,Amsterdam Netherlands,Amsterdam-Schiphol Airport,Amsterdam,4.76,52.31
ANC,Anchorage(Intl) AK USA,Anchorage International Airport,Anchorage,-149.99,61.17
ANF,Antofagasta Chile,Cerro Moreno Airport,Antofagasta,-70.44,-23.45
ANR,Antwerp International Belgium,Deurne Airport,Antwerp,4.45,51.19
AOE,Eskisehir Anadolu,Anadolu University Airport,Eskisehir,30.52,39.81
AOI,Ancona Italy,Falconara Airport,Ancona,13.36,43.61
AOJ,Aomori Japan,Aomori Airport,Aomori,140.69,40.74
AOR,Alor Setar Malaysia,Alor Setar Airport,Alor Setar,100.41,6.2
APL,Nampula Mozambique,Nampula Airport,Nampula,39.29,-15.1
APO,Apartado Colombia,Apartado Airport,Apartado,-76.72,7.82
AQG,Anqing China,Anqing Airport,Anqing,117.03,30.52
AQP,Arequipa Peru,Rodriguez Ballon Airport,Arequipa,-71.57,-16.34
ARD,Alor Indonesia,Alor Island Airport,Alor Island,124.53,-8.68
ARH,Arkhangelsk Talagi,Arkhangelsk Airport,Arkhangelsk,40.71,64.59
ARI,Arica Chile,Chacalluta Airport,Arica,-70.34,-18.35
ARK,Arusha Tanzania,Arusha Airport,Arusha,36.68,-3.37
